case,tcm_KiB,sram_MiB,current_mA,voltage_V,power_mW,block_min_mW,block_max_mW,sha256
tcm160-sram0,160,0,0.549621392,1.810453583,0.995082026,0.995002033,0.995172045,b998c56bbbf7e12de99e389e2c4057c4e974525075756befa862c4591a68aa72
tcm384-sram0,384,0,0.572619258,1.810445154,1.036713558,1.036515462,1.036948256,c7181147b4930b780f68ce2368d094bb62ca2fbcb7dd50ad0de5b1261d2143d9
tcm768-sram0,768,0,0.611019184,1.810347326,1.106174478,1.106075980,1.106236106,98a61107fbf1fb27159c48c24e61437d988218916b385e9e9d5f4676ec801f90
tcm160-sram1,160,1,0.637986692,1.810373359,1.155011548,1.154715318,1.155318712,fddc8ab69a412cae073f4c39d7fcb9a2b57a8af01a772c5115aeb491050a19cf
tcm160-sram2,160,2,0.726912834,1.810740028,1.316267417,1.315906696,1.316458758,27aee56dbc357e64295378c3b11307cba1e07a70d528be12740fc8e313fd25ab
tcm160-sram3,160,3,0.814171236,1.810567424,1.474129603,1.473835897,1.474399154,b63737268b0b866ca75a7a32bd5f8d02af07c4462383abaeb2cc08b946c5954f
tcm768-sram1,768,1,0.700402575,1.810477779,1.268079861,1.267701104,1.268383365,4f0b4d1663164693167dabd2e6cf79cc3fd3f4cabe5e3256780cb768850f9e0d
